,text,star,hp_data,city,transformed_date,product_num
71,Display quality not good don't buy,2,LG 80 cm HD Ready LED Smart WebOS TV,Bhiwandi,"Nov, 2023",32LM563BPTC
72,Picture quality is poor,2,LG 80 cm HD Ready LED Smart WebOS TV,Macherla,"Oct, 2023",32LM563BPTC
73,"Picture quality not much better u need to recharge HD channel to see..
Sound is only 16W not much boss also quality is good but not mak noise",2,LG 80 cm HD Ready LED Smart WebOS TV,Sindgi,"Oct, 2023",32LM563BPTC
74,Tv is good but without magic remote operating webos is very difficult,3,LG 80 cm HD Ready LED Smart WebOS TV,Chennai,"Feb, 2024",32LM563BPTC
75,"Sound not bad, pictures dull",3,LG 80 cm HD Ready LED Smart WebOS TV,Thirumangalam,"Mar, 2024",32LM563BPTC
76,The only problem with this tv is UI is not good as compared to android TVs,3,LG 80 cm HD Ready LED Smart WebOS TV,Pune,"Jul, 2024",32LM563BPTC
77,Nice,3,LG 80 cm HD Ready LED Smart WebOS TV,Nirmal District,"Feb, 2024",32LM563BPTC
78,Ok,3,LG 80 cm HD Ready LED Smart WebOS TV,Arwal District,"Oct, 2023",32LM563BPTC
79,Very good product,3,LG 80 cm HD Ready LED Smart WebOS TV,Faridabad,"Oct, 2023",32LM563BPTC
80,Over prized,3,LG 80 cm HD Ready LED Smart WebOS TV,Paschim Medinipur District,"Aug, 2024",32LM563BPTC
81,Nice,3,LG 80 cm HD Ready LED Smart WebOS TV,Kakinada,"Aug, 2024",32LM563BPTC
82,"TV outdoor is not good quality
Your using very cheap quality fiber or plastic",3,LG 80 cm HD Ready LED Smart WebOS TV,Nellore,"Aug, 2024",32LM563BPTC
83,Because Magic remote is not included,3,LG 80 cm HD Ready LED Smart WebOS TV,Palghar District,"Aug, 2024",32LM563BPTC
84,Picture quality not good,3,LG 80 cm HD Ready LED Smart WebOS TV,Baleshwar District,"Aug, 2024",32LM563BPTC
85,Great,3,LG 80 cm HD Ready LED Smart WebOS TV,Budni,"Jul, 2024",32LM563BPTC
86,Qality are very good .,3,LG 80 cm HD Ready LED Smart WebOS TV,Garal,"Jul, 2024",32LM563BPTC
87,Very nice,3,LG 80 cm HD Ready LED Smart WebOS TV,Ghaziabad,"Jun, 2024",32LM563BPTC
88,Good,3,LG 80 cm HD Ready LED Smart WebOS TV,Nandigama,"Jun, 2024",32LM563BPTC
89,Picture Quality Average,3,LG 80 cm HD Ready LED Smart WebOS TV,Hyderabad,"Jun, 2024",32LM563BPTC
90,Average,3,LG 80 cm HD Ready LED Smart WebOS TV,Bengaluru,"May, 2024",32LM563BPTC
91,Good,3,LG 80 cm HD Ready LED Smart WebOS TV,Raigarh District,"May, 2024",32LM563BPTC
92,Super,3,LG 80 cm HD Ready LED Smart WebOS TV,Ramanagara District,"Apr, 2024",32LM563BPTC
93,Good television,3,LG 80 cm HD Ready LED Smart WebOS TV,Jehanabad,"Apr, 2024",32LM563BPTC
94,Samsung is better than this,3,LG 80 cm HD Ready LED Smart WebOS TV,Nasrigagnj,"Apr, 2024",32LM563BPTC
95,Nice,3,LG 80 cm HD Ready LED Smart WebOS TV,Medikonduru,"Mar, 2024",32LM563BPTC
96,uses more power/electricity,3,LG 80 cm HD Ready LED Smart WebOS TV,New Delhi,"Mar, 2024",32LM563BPTC
